adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,,18,1021635,ja,ザ・レイプ　肉刑,"This unique work depicts in a thrilling way the fear of being isolated in a locked room in the urban jungle, through a man's abnormal sexual urges and a woman who is his target.",26.1754,/e2UNUamYoulTxmIXjbOxvl0Oyaj.jpg,1982-07-09,Za reipu: Niku-kei,False,2.0,2,Drama
False,/srk5NlOnpEsd0hxVFiHfhtQtfDe.jpg,"10749, 18",1156594,es,Culpa nuestra,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",23.797,/yzqHt4m1SeY9FbPrfZ0C2Hi9x1s.jpg,2025-10-15,Our Fault,False,7.365,625,"Romance, Drama"
False,/mXlDBIHh9hBkDCMNazGV2fEPr5J.jpg,18,1124566,no,Affeksjonsverdi,"Sisters Nora and Agnes reunite with their estranged father, the charismatic Gustav, a once-renowned director who offers stage actress Nora a role in what he hopes will be his comeback film. When Nora turns it down, she soon discovers he has given her part to an eager young Hollywood star.",23.9429,/pz9NCWxxOk3o0W3v1Zkhawrwb4i.jpg,2025-08-20,Sentimental Value,False,7.6,657,Drama
False,/AmN8ozRE0AbMGgZhqBu4fUjZkRt.jpg,"12, 18, 36, 28, 53",11362,en,The Count of Monte Cristo,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",22.6937,/ifMgDAUXVQLY4DeOu3VTTi55jSP.jpg,2002-01-23,The Count of Monte Cristo,False,7.675,1972,"Adventure, Drama, History, Action, Thriller"
False,/qxBgqQpfkcusqEBeaITpQQO3vJs.jpg,"27, 53, 9648",69872,it,Il tuo vizio è una stanza chiusa e solo io ne ho la chiave,"Oliviero is a drunk, burned-out writer who amuses himself by hosting orgies at his grand country manor and humiliating his wife Irina. When a number of women are murdered in grisly fashion, Oliviero becomes a prime suspect.",20.8303,/3CAdlrJ6mOq1BgOJRLuNbNS5Lwa.jpg,1972-08-04,Your Vice Is a Locked Room and Only I Have the Key,False,6.478,136,"Horror, Thriller, Mystery"
False,/kM2l7BoPrlP7hx6bSKrp6MHZ1Aa.jpg,"35, 10749, 14",1489187,ru,Сводишь с ума,"Alisa moves into a spacious apartment in St. Petersburg, where the mirror starts to malfunction, showing the young lodger a parallel reality of the same apartment. Only it is not Alisa who lives in this parallel reality, but the party animal Ivan. Will the young people be able to recognize true love and will they be able to unite their worlds in order to meet in reality and simply touch each other?",20.238,/uk20xvDxx36RAOnYCy86yiUGFP8.jpg,2025-10-09,You Drive Me Crazy,False,8.0,7,"Comedy, Romance, Fantasy"
False,/xRyINp9KfMLVjRiO5nCsoRDdvvF.jpg,"18, 53",550,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",23.8426,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999-10-15,Fight Club,False,8.438,31576,"Drama, Thriller"
False,/qr7dUqleMRd0VgollazbmyP9XjI.jpg,"878, 18, 53",78,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",22.7286,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,1982-06-25,Blade Runner,False,7.94,14770,"Science Fiction, Drama, Thriller"
False,,99,936004,ja,Tadao Sato on Ozu's The Only Son,Documentary and interview with Japanese film critic and scholar Tadao Sato about Yasujiro Ozu film The Only Son.,21.7105,/qbOUpXLiC3Tk0P4EkYmPRRFi8A3.jpg,2010-01-01,Tadao Sato on Ozu's The Only Son,False,0.0,0,Documentary
False,/cIbmoyQTZn6Pw4UelKytlwyJ4y6.jpg,"10770, 18, 35",1444606,de,Die Drei von der Müllabfuhr - Der Neue,"A trained theologian with a truck driver's license joins Werner Träsch's team. Former pastor Matthias is surprisingly good at tackling difficult tasks. But he can't hide the fact that he is in trouble for long: His ex-girlfriend Anna makes it impossible for him to see their five-year-old daughter Lotte, despite having joint custody.",21.4971,/py1BLk9uRY7oAGEHqUmCw5r5ltC.jpg,2025-03-07,Die Drei von der Müllabfuhr - Der Neue,False,0.0,0,"TV Movie, Drama, Comedy"
